"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Hookah Haze","1720569600000","17717","17.99","263733","4.766068924187017","92","Indie","Aniplex Inc.","ACQUIRE Corp.","2470300"
"Future Fragments","1708578000000","14679","19.99","263197","6.791463008808835","80","Indie","Taboo Toad,Shady Corner Games","The Future Fragments Team","1238920"
"Botany Manor","1712635200000","12312","24.99","263004","3.329619728276769","96","Indie","Whitethorn Games","Balloon Studios","1425350"
"Scarlet Tower","1711339200000","66201","4.99","262728","10.807864513617215","86","Indie","Pyxeralia LLC","Pyxeralia LLC","2181720"
"Vellum","1711598400000","15742","19.99","260940","7.258494933109757","90","Indie","Alvios, Inc.","Alvios Games","917950"
"Supernatural","1721001600000","34355","8.99","260449","1.582619871033138","63","Indie","Hitori De Productions","Hitori De Productions","2093010"
"Viking Rise: Valhalla","1716264000000","20537","0","259513","36.62029672226122","75","Indie","IGG SINGAPORE PTE. LTD.","IGG SINGAPORE PTE. LTD.","2819520"
"LONESTAR","1705554000000","36933","9.99","259157","20.516837545390125","0","Indie","Thermite Games","Math Tide","2056210"
"Yohane the Parhelion - NUMAZU in the MIRAGE -","1708491600000","10048","29.99","258574","11.459016872346174","93","Indie","BeXide Inc.","BeXide Inc.","2459750"
"Revue Starlight El Dorado","1722988800000","9499","29.99","256387","5.427033571710683","98","Indie","Bushiroad Inc.","Frontwing","2849960"
"The Brew Barons","1709269200000","14325","21.99","256071","13.184460733075102","0","Indie","Lifetap Studios","Lifetap Studios","1636710"
"Contain","1705381200000","12768","13.99","255512","2.503693650275288","60","Indie","SinginGiant","SinginGiant","2186700"
"Brothers: A Tale of Two Sons Remake","1709096400000","21858","19.99","255441","2.3648222677036745","68","AA","505 Games","Avantgarden SRL","2153350"
"Voice Love on Air","1711512000000","10136","29.99","254966","11.2397919153104","90","Indie","SOFTSTAR ENTERTAINMENT","SOFTSTAR ENTERTAINMENT,Noisy Fish","2321120"
"Great Houses of Calderia","1714622400000","14675","24.99","253627","8.063675087275312","78","Indie","Firesquid","Resistance Games","1812910"
"King Arthur: Legion IX","1715227200000","15238","19.99","252953","12.391322087258976","71","Indie","NeocoreGames","NeocoreGames","2739830"
"SENTRY","1711339200000","15063","19.99","251556","6.484102923591283","85","Indie","Fireblade Software","Fireblade Software","1252680"
"Nexus 5X","1713412800000","19791","14.99","250950","20.865414536197893","95","Indie","Paradox Arc","Whatboy Games","1983990"
"AutoForge","1711512000000","14728","19.99","249767","13.221277300296627","89","Indie","Siege Games","Siege Games","1960480"
