"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Black Myth: Wukong","1724025600000","15517278","59.99","837793356","20.065040850375343","96","AAA","Game Science","Game Science","2358720"
"HELLDIVERS™ 2","1707368400000","11905198","39.99","435635596","39.2059601690564","71","AAA","PlayStation Publishing LLC","Arrowhead Game Studios","553850"
"Palworld","1705554000000","16704850","29.99","392328553","41.84076108534572","94","AA","Pocketpair","Pocketpair","1623730"
"Sons Of The Forest","1708578000000","8693478","29.99","217017892","17.34120548403574","86","AA","Newnight","Endnight Games Ltd","1326470"
"Dragon's Dogma 2","1710993600000","1785028","69.99","111478291","31.68705023106798","0","AAA","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","2054970"
"The First Descendant","1719720000000","4043850","0","102244808","49.870230271819395","55","AA","NEXON","NEXON Games Co., Ltd.","2074920"
"Last Epoch","1708491600000","3300623","34.99","97723674","51.95523761434153","86","AA","Eleventh Hour Games","Eleventh Hour Games","899770"
"7 Days to Die","1721865600000","9877443","44.99","89781931","85.91358519475969","89","AA","The Fun Pimps Entertainment LLC","The Fun Pimps","251570"
"V Rising","1715140800000","4784609","34.99","83614738","32.69529338148719","0","AA","Stunlock Studios","Stunlock Studios","1604030"
"Manor Lords","1714104000000","2294915","39.99","63098408","16.702169048666715","88","AA","Hooded Horse","Slavic Magic","1363080"
"Enshrouded","1706054400000","2338262","29.99","57595515","37.76789566288458","87","AA","Keen Games GmbH","Keen Games GmbH","1203620"
"Ghost of Tsushima DIRECTOR'S CUT","1715832000000","925123","59.99","49948315","26.17833373173042","92","AAA","PlayStation Publishing LLC","Sucker Punch Productions,Nixxes Software","2215430"
"Granblue Fantasy: Relink","1706677200000","1057697","59.99","49035237","53.90617871692726","90","AA","Cygames, Inc.","Cygames, Inc.","881020"
"TEKKEN 8","1706158800000","734722","69.99","45285110","60.82372173009936","71","AAA","Bandai Namco Entertainment","Bandai Namco Studios Inc.","1778820"
"Hades II","1714968000000","1582696","29.99","42718547","22.847145780597383","0","AA","Supergiant Games","Supergiant Games","1145350"
"Persona 3 Reload","1706763600000","612576","69.99","34601865","35.384946285028754","95","AA","SEGA","ATLUS","2161700"
"Once Human","1720483200000","5709407","0","34530561","42.261045196968674","72","Indie","Starry Studio","Starry Studio","2139460"
"Gray Zone Warfare","1714449600000","1032731","34.99","34030740","31.906496989180315","67","Indie","MADFINGER Games, a.s.","MADFINGER Games, a.s.","2479810"
"Blade and Sorcery","1718596800000","1606175","29.99","31266686","19.72078698069728","97","Indie","WarpFrog","WarpFrog","629730"
"The Outlast Trials","1709614800000","1230011","39.99","30878209","24.441367547862775","94","AA","Red Barrels","Red Barrels","1304930"
"Supermarket Simulator","1708405200000","2514219","12.99","26020639","18.640685149153384","94","Indie","Nokta Games","Nokta Games","2670630"
