game,release_date,copies_sold,price,revenue,avg_playtime,review_score,publisher_class,publisher,developers,steam_id,total_revenue,revenue_percentage,days_in_market,average_price_per_hour
WWE 2K24,2024-03-07,165301,99.99,8055097.0,42.4,71,AAA,2K,Visual Concepts,2315690,18878021.0,42.67,186,2.36
EARTH DEFENSE FORCE 6,2024-07-25,159806,59.99,7882151.0,29.7,57,Indie,D3PUBLISHER,SANDLOT,2291060,7945034.0,99.21,46,2.02
Sins of a Solar Empire II,2024-08-15,214192,49.99,7815247.0,12.5,88,Indie,Stardock Entertainment,"Ironclad Games Corporation,Stardock Entertainment",1575940,7922689.0,98.64,25,4.0
Legend of Mortal,2024-06-14,440998,19.99,7756399.0,24.8,76,Indie,"Paras Games,Obb Studio Inc.",Obb Studio Inc.,1859910,7756399.0,100.0,87,0.81
Shin Megami Tensei V: Vengeance,2024-06-13,141306,59.99,7629252.0,34.3,96,AA,SEGA,ATLUS,1875830,63528353.0,12.01,88,1.75
Soulmask,2024-05-30,304685,29.99,7540563.0,95.7,79,Indie,Qooland Games,CampFire Studio,2646460,7540563.0,100.0,102,0.31
The Universim,2024-01-22,328945,29.99,7534369.0,16.9,81,Indie,Crytivo,Crytivo,352720,9044587.0,83.3,231,1.77
Bellwright,2024-04-23,280955,29.99,7481940.0,41.4,78,Indie,"Donkey Crew,Snail Games USA",Donkey Crew,1812450,7481940.0,100.0,139,0.72
Night of the Dead,2024-05-31,394364,29.99,7091792.0,27.6,79,Indie,Jackto Studios,Jackto Studios,1377380,7091792.0,100.0,101,1.09
Empires of the Undergrowth,2024-06-07,408292,29.99,6950952.0,38.6,95,AA,"Hooded Horse,Slug Disco",Slug Disco,463530,6950952.0,100.0,94,0.78
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,2024-06-13,212325,49.99,6828446.0,30.3,0,AA,Square Enix,Square Enix,2552430,12662055.0,53.93,88,1.65
ANIMAL WELL,2024-05-09,305891,24.99,6420393.0,8.5,96,Indie,Bigmode,Billy Basso,813230,6420393.0,100.0,123,2.94
Age of Mythology: Retold,2024-09-04,236419,29.99,6381185.0,9.4,91,AAA,Xbox Game Studios,"World's Edge,Forgotten Empires,Tantalus Media,CaptureAge,Virtuos Games",1934680,11129017.0,57.34,5,3.19
STAR WARS™: Battlefront Classic Collection,2024-03-13,185054,35.01,6048340.0,4.4,0,Indie,Aspyr,Aspyr,2446550,9751837.0,62.02,180,7.96
Another Crab's Treasure,2024-04-25,264723,29.99,5719324.0,10.4,95,Indie,Aggro Crab,Aggro Crab,1887840,5719324.0,100.0,137,2.88
Homeworld 3,2024-05-13,102487,59.99,5516030.0,8.5,42,AA,Gearbox Publishing,Blackbird Interactive,1840080,5516030.0,100.0,119,7.06
Winter Memories,2024-01-05,424281,19.99,5478333.0,9.0,0,Indie,Kagura Games,Dojin Otome,2495450,8701350.0,62.96,248,2.22
Nine Sols,2024-05-28,214407,29.99,5475592.0,17.9,96,Indie,RedCandleGames,RedCandleGames,1809540,5475592.0,100.0,104,1.68
Outpost: Infinity Siege,2024-03-26,278031,24.99,5312327.0,35.1,68,AA,Lightning Games,Team Ranger,1566690,5334895.0,99.58,167,0.71
Sker Ritual,2024-04-18,267953,24.99,5058868.0,6.5,82,Indie,Wales Interactive,Wales Interactive,1492070,5058868.0,100.0,144,3.84
shapez 2,2024-08-15,261028,24.99,4810868.0,16.3,99,Indie,"tobspr Games,Gamera Games",tobspr Games,2162800,4810868.0,100.0,25,1.53
Senua’s Saga: Hellblade II,2024-05-21,107010,49.99,4747832.0,5.2,88,AAA,Xbox Game Studios,Ninja Theory,2461850,11129017.0,42.66,111,9.61
Pixel Gun 3D: PC Edition,2024-04-02,1626877,0.0,4707782.0,11.9,62,Indie,Cubic Games Studio,Cubic Games Studio,2524890,4707782.0,100.0,160,0.0
Backpack Battles,2024-03-08,499559,12.99,4663468.0,42.9,90,Indie,"PlayWithFurcifer,IndieArk",PlayWithFurcifer,2427700,4663468.0,100.0,185,0.3
Crime Scene Cleaner,2024-08-14,285596,19.99,4644684.0,8.6,98,Indie,"President Studio,PlayWay S.A.",President Studio,1040200,4644684.0,100.0,26,2.32
Kebab Chefs! - Restaurant Simulator,2024-01-19,312189,17.99,4552032.0,9.5,89,Indie,Biotech Gameworks,Biotech Gameworks,1001270,4552032.0,100.0,234,1.89
Predecessor,2024-08-20,433605,0.0,4523839.944318563,109.9,79,Indie,Omeda Studios,Omeda Studios,961200,4523839.944318563,100.0,20,0.0
Palia,2024-03-25,881082,0.0,4263470.0,47.0,78,Indie,Singularity 6 Corporation,Singularity 6 Corporation,2707930,4263470.0,100.0,168,0.0
"Little Kitty, Big City",2024-05-09,206880,24.99,4238137.0,4.1,95,Indie,Double Dagger Studio,Double Dagger Studio,1177980,4238137.0,100.0,123,6.1
Secrets of Grindea,2024-02-29,314988,14.99,4161183.0,21.7,90,Indie,Pixel Ferrets,Pixel Ferrets,269770,4161183.0,100.0,193,0.69
Chrono Ark,2024-05-02,301197,24.99,4113334.0,37.2,91,Indie,Al Fine,Al Fine,1188930,4113334.0,100.0,130,0.67
Nova Drift,2024-08-12,445361,17.99,4047331.0,24.7,96,Indie,Pixeljam,Chimeric,858210,4047331.0,100.0,28,0.73
Kingdom Rush 5: Alliance TD,2024-07-25,245264,19.99,4042356.0,9.1,86,Indie,Ironhide Game Studio,Ironhide Game Studio,2849080,4042356.0,100.0,46,2.2
Norland,2024-07-18,170621,29.99,3991591.0,18.5,79,AA,Hooded Horse,Long Jaunt,1857090,78487195.0,5.09,53,1.62
Eiyuden Chronicle: Hundred Heroes,2024-04-23,91925,49.99,3953243.0,26.2,0,AA,505 Games,Rabbit & Bear Studios,1658280,6109093.0,64.71,139,1.91
Le Mans Ultimate,2024-02-20,120703,32.99,3740762.0,24.5,78,Indie,Studio 397,Studio 397,2399420,3740762.0,100.0,202,1.35
The Hungry Lamb: Traveling in the Late Ming Dynasty,2024-04-22,588305,9.99,3689551.0,5.5,97,Indie,"零创游戏(ZerocreationGame),2P Games",零创游戏(ZerocreationGame),2593370,3689551.0,100.0,140,1.82
Fabledom,2024-05-13,274354,20.99,3559827.0,9.7,90,Indie,"Dear Villagers,Doyoyo Games",Grenaa Games,1651560,3559827.0,100.0,119,2.16
Apollo Justice: Ace Attorney Trilogy,2024-01-24,89327,49.99,3465018.0,40.0,93,AAA,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2187220,117881025.0,2.94,229,1.25
F1® Manager 2024,2024-07-23,111464,34.99,3428483.0,22.8,66,AA,Frontier Developments,Frontier Developments,2591280,3428483.0,100.0,48,1.53
Men of War II,2024-05-15,84565,44.99,3406127.0,21.1,0,Indie,Fulqrum Publishing,Best Way,1128860,3406127.0,100.0,117,2.13
Banishers: Ghosts of New Eden,2024-02-12,78137,49.99,3387809.0,22.3,87,AA,Focus Entertainment,DON'T NOD,1493640,6127371.0,55.29,210,2.24
Buckshot Roulette,2024-04-04,1486957,2.99,3369649.0,3.0,95,Indie,CRITICAL REFLEX,Mike Klubnika,2835570,3551898.0,94.87,158,1.0
Fields of Mistria,2024-08-05,265456,13.99,3342356.0,15.6,98,Indie,NPC Studio,NPC Studio,2142790,3342356.0,100.0,35,0.9
FOREWARNED,2024-04-25,366053,12.99,3322822.0,8.4,91,Indie,Dreambyte Games,Dreambyte Games,1562420,3322822.0,100.0,137,1.55
Midnight Ghost Hunt,2024-03-21,371470,19.99,3272209.0,11.9,78,AA,Coffee Stain Publishing,Vaulted Sky Games,915810,13947324.0,23.46,172,1.68
Tomb Raider I-III Remastered Starring Lara Croft,2024-02-13,125073,29.99,3262820.0,25.6,87,Indie,Aspyr,"Aspyr,Crystal Dynamics",2478970,9751837.0,33.46,209,1.17
Five Nights at Freddy's: Into the Pit,2024-08-07,181334,19.99,3262379.0,5.1,96,Indie,Mega Cat Studios,Mega Cat Studios,2638370,3262379.0,100.0,33,3.92
EA SPORTS™ Madden NFL 25,2024-08-15,50521,69.99,3182368.0,16.1,50,AAA,Electronic Arts,Tiburon,2582560,21635263.0,14.71,25,4.35
Rotwood,2024-04-24,412521,10.99,3180800.0,8.8,73,AA,Klei Entertainment,Klei Entertainment,2015270,3180800.0,100.0,138,1.25
Hookah Haze,2024-07-10,17717,17.99,263733.0,4.8,92,Indie,Aniplex Inc.,ACQUIRE Corp.,2470300,1087427.0,24.25,61,3.75
Future Fragments,2024-02-22,14679,19.99,263197.0,6.8,80,Indie,"Taboo Toad,Shady Corner Games",The Future Fragments Team,1238920,263197.0,100.0,200,2.94
Botany Manor,2024-04-09,12312,24.99,263004.0,3.3,96,Indie,Whitethorn Games,Balloon Studios,1425350,329577.0,79.8,153,7.57
Scarlet Tower,2024-03-25,66201,4.99,262728.0,10.8,86,Indie,Pyxeralia LLC,Pyxeralia LLC,2181720,262728.0,100.0,168,0.46
Vellum,2024-03-28,15742,19.99,260940.0,7.3,90,Indie,"Alvios, Inc.",Alvios Games,917950,260940.0,100.0,165,2.74
Supernatural,2024-07-15,34355,8.99,260449.0,1.6,63,Indie,Hitori De Productions,Hitori De Productions,2093010,260449.0,100.0,56,5.62
Viking Rise: Valhalla,2024-05-21,20537,0.0,259513.0,36.6,75,Indie,IGG SINGAPORE PTE. LTD.,IGG SINGAPORE PTE. LTD.,2819520,259513.0,100.0,111,0.0
LONESTAR,2024-01-18,36933,9.99,259157.0,20.5,0,Indie,Thermite Games,Math Tide,2056210,790805.0,32.77,235,0.49
Yohane the Parhelion - NUMAZU in the MIRAGE -,2024-02-21,10048,29.99,258574.0,11.5,93,Indie,BeXide Inc.,BeXide Inc.,2459750,380664.0,67.93,201,2.61
Revue Starlight El Dorado,2024-08-07,9499,29.99,256387.0,5.4,98,Indie,Bushiroad Inc.,Frontwing,2849960,415727.0,61.67,33,5.55
The Brew Barons,2024-03-01,14325,21.99,256071.0,13.2,0,Indie,Lifetap Studios,Lifetap Studios,1636710,256071.0,100.0,192,1.67
Contain,2024-01-16,12768,13.99,255512.0,2.5,60,Indie,SinginGiant,SinginGiant,2186700,255512.0,100.0,237,5.6
Brothers: A Tale of Two Sons Remake,2024-02-28,21858,19.99,255441.0,2.4,68,AA,505 Games,Avantgarden SRL,2153350,6109093.0,4.18,194,8.33
Voice Love on Air,2024-03-27,10136,29.99,254966.0,11.2,90,Indie,SOFTSTAR ENTERTAINMENT,"SOFTSTAR ENTERTAINMENT,Noisy Fish",2321120,254966.0,100.0,166,2.68
Great Houses of Calderia,2024-05-02,14675,24.99,253627.0,8.1,78,Indie,Firesquid,Resistance Games,1812910,1371080.0,18.5,130,3.09
King Arthur: Legion IX,2024-05-09,15238,19.99,252953.0,12.4,71,Indie,NeocoreGames,NeocoreGames,2739830,252953.0,100.0,123,1.61
